,sentiment,content
2120,12,5500 words and counting.  My hands hurt
2121,5,@mileycyrus I would totally take you to prom...if i hadnt already gone  sorry lol
2122,12,I miss the Doctor Who regular series.
2123,12,Jeez! Little one is seriously constipated. Don't know what to do anymore. Anyone tips? It's terrible seeing him in serious pain
2124,10,im the only ho that didnt go to tigerheat tonite
2125,5,@RASHIDIAN Come hang out wif meeee
2126,12,"@damienmulley Yes otherdad  @katiemoffat Wait, do I go back to sleep or cause mischief?"
2127,5,Hmmm thinking about taking back that I feel better this morning - I think I spoke to early
2128,10,not to be too macabre but its hard to believe we dropped a real nuclear weapon on real japanese humans.  http://ow.ly/9NRu #warisfucked
2129,12,Inshalla! Devo I wont be at the Astor tonight
2130,10,@OpheliaPunk i wish i wasn't all  bummed but i kinda am
2131,10,@notmywords yup-unfortunately  Took today off work and just slept all day.
2132,12,iTunes upgrade reset playcount to zero  How will I know which one of 143 Hasta Siempre versions I liked best?
2133,10,is feeling so bored... i miss school time
2134,12,Watched The Notebook last night.... Wahhhhhhh!  V good.  Cried my eyes out!  Maybe a bit too close to home I think.    Go watch!
2135,0,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
2136,8,"go to my father's house or not?!that is the question...domestic food and people around me vs my bed,my tv and my world...dont know"
2137,12,@_erica /hugs those are the worst. Mine used to be really bad on the first day..sometimes can't even get out of bed.
2138,8,"@kegrocks I did one last night  it will be available in dvd, blue ray, and digital download via the iTunes store by the end of the week"
2139,8,"@mrspaulkjonas No, havent heard anything about the show   It hasnt been on on saturday nights, but there are the occasional sunday reruns."
2140,12,@AlexAllTimeLow aww  cant wait till u get 2 Sydney ;D i missed out on tickets tho.. :O xxx
2141,12,"imissu, come back home now honey"
2142,11,falling asleep and waking to gun shots arent fun
2143,12,@Zobi09 I'm concerned for that family
2144,6,@Epiphora I will never forgive you for burying the erotica. You're snuffing out our love.
2145,6,"Had to fix bike chain on the way to work...arrived a filthy, bloody mess   lovely weather though!"
2146,8,@grum have you seen who's knocked you off top spot on wefollow for #perth?
2147,10,@etschuetz that sux  but mayb 4 the btr u nvr know
2148,8,@dreamsthedream @dreamsthedream @dreamsthedream I came back to Germany yesterday. My five days in the UK were over.
2149,10,Cant sleeeeep &amp; i miss my long hairrr
2150,8,3) I really want to see &quot;Up&quot;
2151,10,mom is ok so far. just missing jaron
2152,4,@twebbstack nuhhhh no info on ticketek yet  Heaps excited though! I dont care how much but I hope it isn't too much..
2153,12,just called Toyota. Car won't be ready til 5.
2154,7,im finally going home but didnt get to finish all my work  so ill be back tomorrow
2155,12,@mrcoups oh dear  not fun
2156,12,Can't sleep...so I'm watching HGTV. I'm afraid infomercials are about to take over
2157,8,"Because twitter is about being an attention whore: meet new haircut, same as the old one: http://u.nu/8748 She refused to cut a fringe"
2158,10,has had AWFUL hiccups today and now can't fall asleep because of them
2159,5,@pyroezra i know!  i wish she would. I just wanna cuddle and sleeep in ga! And go to the world of coke
2160,8,I guess I'm just not smoking tonight
2161,10,"Use twitter, quit life"
2162,12,"@widrfm  hey, is your site down? I was going to listen to the web stream but can't get to the site..."
2163,8,Oh cr*p ... Placebo tix and Tori Amos both go on sale at 9am. Anticipating hot cake distribution of both.
2164,9,Happy belated Birthday to Billy!! I forgot to say that on his bday.  I  feel aweful!
2165,7,"@sweetavalanche haha yeah i know  yeah, things are okay, pretty much the same. i'm slowly sorting things out.. exams are coming D: haha"
2166,10,Listing to old jb music.... Going bck to 2006&amp;2007 &lt;33 i miss tht
2167,6,"wants to move to QLD already, this cold weather is killing me"
2168,10,"Just woke up &amp; can't go back to sleep. Had a txt from the bff sayin if you're up call me, sounds important but that was 4 hours ago"
2169,8,3/4 through project car 1.
2170,8,playing bejewled on facebook.. damn it i want a higherscore!
2171,8,starting to wonder if I'm going to get this job... came across as though i'd find work elsewhere if needs must... not intentionally
2172,10,My truss failing  http://yfrog.com/154upj
2173,12,@Keiyaunna So i guess im stuck in the LOBBY
2174,12,365days rperss.... where are youuuuuuu
2175,6,stuck in huge traffic jam
2176,12,This porridge tastes shit! I cba with today man.
2177,12,Have to sell my car. It's costing me too much. Can now afford one rollerskate. Bye bye petey
2178,8,Lovely morning to cycle to work but met with a 29 degree office
2179,10,Trending Topics on Twitter used to useful. Now they're just like middle schoolers passing around notes cause class is boring.
2180,6,hates typing on a mac. wishing that i'll be done my english essay soon.  sleeeepy
2181,4,"Want to get my hands dirty with FubuMVC. http://bit.ly/J00ha, but the document is not yet complete"
2182,8,"going to work, it's 3:30am"
2183,12,seriously getting hurt.... 4 days before nationals.. what a joke
2184,10,@helloinsightful CEREAL DOESNT COME WITH TOYS ANYMORE!. i jus been thinkin i was buyin the wrong kinds  say it aint so Mo.
2185,2,sleep? what's sleep again? I've seem to have forgottten the meaning. too much on my mind. or it's just my usual insonmia.
2186,10,Now the mosquito truck is waking me up
2187,12,@katelynizzle haha okay you were talking about middle college grad I think and I got worried
2188,12,I hate tossing and turning.. Why can't i just fall asleep?
2189,10,Another boring meeting to attend
2190,5,@carocat Nooo  But hey you're back next week! Are you moving back for good?
2191,3,can't tell you how thrilled I am to have just had a nosebleed.  first time in ages.  overjoyed doesn't cover it.  urgh
2192,12,"Can't seem to sleep tonight... Its 3:38am, I need to get up in less than 4 hours..."
2193,6,"bah, i h8 waking up"
2194,3,@katieclair88 You guys didn't call or come over  Did we do something?! Def. give us a call tomorrow and hang out with us chick!!
2195,5,"@ykesha2001 yeah, I also had to do a paper.. I only have one more final left: algebra.. &amp; I take it on my birthday!!   (june 3)"
2196,6,"i hate working, especially when the weather is good"
2197,10,damn i missed @xsparkage's blogtv  i hope it was funsies?
2198,8,On the train now. I forgot by charger  that means no whoshere for me today till I get home haha!  but I'd still tweet u guys! xxx
2199,10,"I'm torn, do I get an extended warranty for my iPhone when mine runs out, or jailbreak? I've already got problems with battery &amp; earpiece"
2200,12,"@dawndela yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time"
2201,11,Back at work.....too much email in my inbox....
2202,10,friday night is my fav night of the week but now I have to go to stupid dog training classes
2203,10,"@xBellaMariex Hello Bella, why r you going to delete your account..?"
2204,12,@HannaManna I think it goes against everything i thought the olympic spirit of Team GB is/was
2205,12,"Auditions are good but, Iam super nervous! That is one of my virtues"
2206,8,nothing
2207,10,@nicolepenney That sucks! I'm going to be doing summer school.  Need to catch up on several units
2208,12,Going to revise for physics.
2209,6,Have you ever stepped on a slug by accident? I just did  I hate bugs
2210,10,"Damn, 4got to turn off my alarm so I woke up at 5:45am"
2211,10,I miss Cary and want to drink some chocolate milk with him.
2212,8,@krissysalisbury don't ask  Hoping that today will be an improvment on the rest of the week. Looking forward to the weekend weather!
2213,9,Can't I just be a stay at home mom already
2214,9,this sux but took like 4 minutes. going to sleep finally  http://img36.imageshack.us/img36/4603/iprevailedsig.png
2215,8,10 days to recover from ligament damage (from now) will give me about 3 days to train for the 5k
2216,12,@urbancritter I am lost. Please help me find a good home.
2217,8,@NellaGrl 64 degrees would be a dream. it's 75 in Boise still.
2218,5,@_faeriequeen I just saw the Hamlet update too - excellent news... Never so good as live though
2219,10,im ill hate it. seeing the doc at 5 too 10.
2220,12,"Want to get my hands dirty with FubuMVC. http://bit.ly/J00ha, but the documentation is not yet complete"
2221,6,Shit week all fucking week  off to the gym now with the worst headache.
2222,11,oh men..not in the mood  I'll go home tomorrow..wanna be w/ my family..its my birthday
2223,10,@JasonVonBerg thats the crazy part - was for 16:30. but reasons include &quot;full schedule&quot; &amp; &quot;travelling with his daughter&quot;... So. Not. Cool
2224,5,I can't work twitter on my phone!  we're just in bed thinking of funny stuff from last night! (L) GOOD TIMES!
2225,8,feel like am at one of those gyms where the machines work you rather than you them
2226,6,my eyes are streaming!! i HATE hayfever  it's so bad even my tablets aren't working!
2227,11,@TylerHarrell do you really smoke???
2228,12,@Yvette_Maree omfg are you alright?
2229,12,@yanq_ndo OMG I'm so sorry. I'm the worst employee ever. My hard drive just failed taking the survey data with it
2230,12,is bored at school and my throat it swollen
2231,10,Approaching the weekend quite quickly and so much more work left to do.
2232,4,@Knightpkf Yay! Thank you.. Feels like ur yelling at us   LOL
2233,12,down with a nasty cold in cagayan de oro
2234,10,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(
2235,1,My brother just woke me up to help him with his homework. I'm not happy
2236,10,Disturbed. They sold the baby tiger I met in Thailand as an exotic pet. Greedy bastards
2237,8,wishes wag na sana ma reject thesis proposal ko nadedepress na ko eh (goodluck) (annoyed)  http://plurk.com/p/wy27u
2238,8,"@DamoDarko yep, i wish they were all playing dubiln"
2239,10,"and I'm so naughty I cant even take my dog, I have to sit &amp; watch how proper dog owners do it, will Brunos life ever be the same?"
2240,11,"Ok, ahhh! Last chance to go into school before chemistry exam!!"
2241,10,"Also, anyone else hayfevery today??? I've only been awake for 40mins and sufferin already"
2242,10,I'm glad that all got cleared up.  I lah you!  Idk why Linda hates me though..
2243,2,dog just farted  so bad.....
2244,10,@alexandramusic morning Alex hope you will be tweeting lots today as we do miss you when you aren't on here  xx
2245,12,"Euh, got LDAP Schema Error  Why oh Why"
2246,8,lunch at 5.30pm!
2247,8,assignments!
2248,11,Sooo tired i cant believe its already dark outside i didnt even get to see the day
2249,2,"@Alegrya Yeah, I've got the same issue - signed up but no confirmation email"
2250,7,I loved johnny carson now I'm going to hate seeing jay leno go  (via @womanschitchat) that's what I was waiting for someone to say!
2251,10,@TheeRealFDHC Sorry to hear that man  He is were the bullshit cant reach him now. My heart goes out to you and your family.
2252,7,@diane4president visit si fr joemar dito bataan (frm camiguin) &amp; sum of my ofcmates&amp; i are supposed to meet him this saturday  can't luwas
2253,8,prepare yourself
2254,6,@GGSerena boo you didnt answer my text
2255,5,@NMaize Lucky Rob... always gettin' the T8's from Emalon
2256,12,@AlexAllTimeLow aw  were sad you had to leave tokyo. come back.please
2257,4,there are # days of summervac &amp; school comes along just 2 end it &amp; the annual problem of r generation is finding a good way 2 spend it!!
2258,8,@Silbersurfer TOLD YOU!
2259,7,@BK_II It's foggy here
2260,8,@pyroezra but you should move here! I have school.
2261,11,@dougiemcfly Aint the UK fans your fav people!?
2262,4,@lesleyroy haha! nice! Have fun doll! Hopefully I'll see ya soon! I miss ur face!
2263,12,"E docs are getting younger these days.can u guess where am i??yup, NUH!! paying my ear doc a visit. Ouch!!"
2264,3,Well I'm going to try and sleep now I have to be at work at 9 tomorrow  and then the weekend starts!!!!  http://myloc.me/1XTs
2265,12,@chrissalad My Mum said I probably wont get out of it  ALSO - it goes for like 2 months. That's normal right?
2266,10,im cold  i still cant find my hoodie
2267,8,Eating pringles at nearly 1 AM really reminds me  of touring with the Jonas Brothers (don't ask).......I miss that so much....
2268,2,@davidnikel i don't even know what sporting social enterprise means....
2269,8,"@Emsy Your pic didn't show up for me  Boo!!!! All the other pics on that site show up, but not yours"
2270,4,yummy chocolate cake..wish even i got one for my b'day!!   anybody listening???
2271,10,"Um, why arent episodes 1-14 of Lost season 5 on abc?!  Good thing Im going to Vegas in the am to keep me distracted from this tragedy."
2272,12,@fauzims It was white...  I acidentally left it in when i was doing my colours...
2273,5,Going back to Manila this evening. All my trips to Cebu are so bitin.
2274,7,@albamayo...I just posted my First video... A contest entry and my still is terrible too  boo...luv ur videos btw. Xxxrebelrebelxxx
2275,12,"I seriously hate my life: it's currently 2:42am, I have 3 finals tomorrow, and have not slept a single second"
2276,12,@KINGmoney I'm sorry...I'll make sure I do that next time.
2277,10,@Kristie999 same. Was going to try warm milk but I'm lactose intolerant  haha.
2278,8,@lady_jane   hope yours will go away quicker than mine (10 weeks now and counting)
2279,12,yack yack -- resorting to these :#2&amp;!@#$%^&amp;*()etc. to stay within twitter limits?? not good
2280,12,I wish I could go back to bed with @wowshaggy
2281,1,just woke up day off and need to go in to work that sucks. Also have to go dentist for filling at 12 then st helens for mri scan at 2
2282,10,Mom has left... again
2283,11,Is up and I can't go to sleep!
2284,10,chapter 27... probably on monday. i still need more comments.
2285,8,Just finished watching terminator. Other than the music nothing is great
2286,12,i cant afford it  go to school here ? !!
2287,12,"cries. AJ radio is gone  Guess I won't be DJing anymore.. until I get this fully fixed.. How are we btw? Heaps of homework, long weekend."
2288,5,@drewpeacock85 cool dude! yeah i was hoping your rate was still $2.75. lol! yeah not sure when ill mar and par for my birthday dinner.
2289,10,"... need retail therapy, bad. AHHH.....gimme money geebus"
2290,12,i feel less than nothin'.. lower than zero..
2291,12,Attempting to sleep. My puppy is sick already
2292,6,"my mind is racing ... b/c of 4 words he wrote.  I hate him, but I hate her most. ... and I can't keep from falling for him"
2293,10,cant sleep  so tired! goodnight... maybe :/
2294,8,"So, I am working on the news as well while I am doing all of this &amp; Rob is all over the place!  No wonder that boy never gets left alone!"
2295,3,got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL.
2296,10,"@dtothealex really... I'm an alumnus, and I don't know myself! and we didn't have Macs yet when I was there..."
2297,12,@GianninaRossini blimey! You're still suffering?!!
2298,8,"@tsarnick Yeah, that was my thumb last night. Sorry"
2299,10,"Back to LA from Las Vagas, Nice Trip , Nice Food ....but lose $100 with Slot Machine..."
2300,4,@SplashAdams ill be alright but the whip may not
2301,12,@Keiyaunna OH FACK U GAVE ME POLICE THATS SOME SERIOUSE SHIT
2302,11,@bbyowls i cant afford it  go to school here ? !!
2303,12,Too broke for cigarettes.
2304,4,@kimberly__joy i feel like red lea now
2305,12,squirrel! where? i hate squirrels
2306,8,@grantarnow WHY DIDNT I SEE YOU?
2307,2,"Just watched Mall Cop. Wasn't that funny, but wasn't too bad. I guess. I kinda wish I still worked at a movie theater...."
2308,12,Can't sleep....  &amp; why isn't my $ in my damn account!? BofA is trippin
2309,12,@tissuerose i'm with you in this.  i've always have prob prioritizing myself ahead of him.
2310,5,"Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!"
2311,8,backache
2312,4,Five o'clock can't come any faster
2313,1,"Finishing the video. Fuck me, it's so long"
2314,12,"LAPPYTOP BATERRRY DYING,tryingtofind a movieto watch since im staying in.  and goingto my room."
2315,10,wowowee willie of fortune is just making me depressed  damn love.
2316,6,Bluedart takes a shipment all the way before figuring out &quot;No Deliver&quot; and then bring it back! Databases anyone?
2317,10,Watching Jimmy F.  delete all his social network profiles  No more Jimmy cyber time.
2318,12,I no longer have a ticket for ny
2319,2,The sun is shining and I'm stuck in work
2320,12,...I have to study ....
2321,6,"Just been bitten by SmoothStreaming, it doesn't seem to work for my client's linux users...fan-fricking-tastic"
2322,8,@pyroezra idk if i could.  it would cost me soo much there.
2323,6,? MADAYA KA CHRISTIAN. BLEH!!! I HATE U  http://plurk.com/p/wy2yg
2324,12,"Squabbling with people over the internet is great for my Tumblarity, but bad for my ego when they have more internet friends than me"
2325,3,"Wow, been away 4 a while...stupid lap top is in the shop...still    Hope everyone is well!"
2326,12,Type cold in my room
2327,10,"Desperately wishing I could sleep - But I am too frazzled about my Gma, and can't sleep.. :'( It's really bad tonight  xx"
2328,4,Planning a road trip down to San Diego- With a detour into Vegas to celebrate my birthday! Too bad it's 7 wks away  I want to go now!
2329,12,is MySpace mobile free? or do u have 2 have credit... cause they are liers
2330,12,@MaryKathrynK Yikes!  I hope she was okay.  I never her heard her say her tummy hurt.
2331,2,@MAGUSWEAVER don't follow me. You will ruin my twitter experience
2332,12,Flight to hurghada delayed 7 hours
2333,12,Going to be a strange weekend. Probably srtarting off with working til midnight tonight
2334,3,I Need to get my friggin cameras cleand ASAP !!
2335,4,@JBFutureboy lucky kid...i so wanna see loserville  pity im in oz....
2336,7,Friends! Come over and give me a massage  I can't sleep.
2337,11,"@FannyAddams Aw you named your car, that's very sweet. I'm sorry to hear that Petey has to go, I hope you find a really posh rollerskate."
2338,8,@beakpie yes. Yes you will.
2339,10,No allowed a calculator for this exam despite it containing laths that is impossible to compute in my head.
2340,12,"Whataburger closing all locations but tally  so harsh, might have to transfer schools"
2341,9,im very sorry.
2342,10,3 hours of sleep and a mild hangover = carelessness and the loss of a brand new ipod pouch
2343,12,"@MarieLuna I'm sure it's not what you think. Is this really you? i saw you couple of months back in NAIA,was shy to approach 4 a pic."
2344,12,"i'm so worn out, this week has sped by soo fast. gonna ask mum if we can go to the movies. i'm desperate"
2345,10,"Wee laddie's been SO upset for about 2 hours. Tried soothing him in bed, nursing, etc. Nope. Up at 3:30am for real food. Blue Clues now."
2346,7,"@ddlovato july 21st!?? that means at your concert I won't know all the songs.  oh well, yay demi!! &lt;3"
2347,5,I have been playing skate for two hours. Now i need to get out and actually skate. But it's too late
2348,12,I've got a dentist's appointment soon!  The drill feels like I've got my brain in a blender - not looking forward to it
2349,8,"Ghhh! Went an hour earlier to bed thinking ill get an area hr of sleep, woke up an hr earlier. Today is gonna be a looooong one again."
2350,5,"@mitch_400iso Me too, she was adorable and you could tell the pressure got to her."
2351,8,@AdamAxon That bloody free kick after 1 min 07 seconds was sooooooo close to going in.......if only
2352,8,contemplating when to hand in my lovely car
2353,12,@Scarlettjen fuck. it should be recoverable. it's just the boot part that's messed up. grr argh. my business was on there.
2354,8,Live TV coming to the XBox 360.  But only if you live in the UK.  http://tinyurl.com/kq47ah
2355,12,"@ajaedandridge ate pussy, I refuse to bless her cuz she already clingy"
2356,8,"you people are missing the point here, instead of @god loosing followers he's GAINING! over 50 new ppl in 6 hours"
2357,8,@munzee the 14-24 is definitely going... sold the 70-200 and 200F2 is  too HEAVY  Think I'll get away with the 50/85? #Twedding
2358,12,Not well again  @littlereidy it's definitely not hayfever
2359,12,HOW COME ITS SO HARD TO FIND A GUY WITH THE SAME PASSION FOR LOVE AS FOR A WOMAN?? AM I EVER GOING TO SEE THE DAY! IM lonely yall!
2360,10,@madeofhoney1 im sorry. i dont wanna cuz of how u act. u just turn right around and ignore me and all that
2361,11,Oh my gosh! My hair is so short! I miss my long hair!
2362,12,@SydneyAlterEgo probably not in this weather
2363,8,@Samm_xo Today yeah
2364,8,@justin_roe oh well.  I've never seen him do anything before so I'm not gonna say anything.
2365,10,Ugh id better get up for work
2366,7,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you a good flight &lt;3
2367,12,I am living in a country where the government is ALWAYS a circus show ... sad but true...
2368,8,@markboulton @robertmills Looks like I'm on tea duty all day.
2369,10,had my lip pierced for about 30 minutes.  and then it died.
2370,10,why not everything workout as you planned.
2371,12,Don't know who U R anymore!!!
2372,10,aww only 15minutes left of family guy
2373,8,#3wordsaftersex my turn yet?
2374,12,My dead grandpa pays more attention to me than you do
2375,8,WANTS TO GO TO SLEEP WITH THE SOUND OF THE RAIN
2376,7,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you good luck
2377,1,"don't know what to do today.  amazing weather and i'm sitting here, great."
2378,12,BIG NEWS?! But I don't know if I can share it.
2379,8,@ac07 LOL. Academy-ish. Haha. I really really miss O.B.
2380,12,@alabamawhirly I'll be stuck inside the office all day today
2381,12,Being dragged round Ikea this morning  Bad times!
2382,12,@Nelley aww sorry boo. I haven't bought a printer in 4 years; my canon i900d is still making amazing prints. Have zero fisheye exp.
2383,10,I wanted to see the story on ACORN tonight on Glen Beck but I missed it
2384,12,So ... Still finishing errands for a trip tomorrow morning where I have to be at airport at 6am.
2385,10,Tv arrived but can't play cos have to go to stupid work
2386,12,@QueenofScots67 this is a little sad and I know I am new but no one has ff me yet
2387,12,"Invasion of the Old Ladies has just ended, still have to clean up not going to be able to make it to the tweetup tonight."
2388,8,down in my series with denver on 2k9 3-1
2389,11,I almost say &quot;bless you&quot; to a sneezing cat
2390,3,"At work   leave for Berlin at 17:00 by car, will be a late arrival"
2391,12,@monroejnicole Im goodie. I feel like we are so disconnected
2392,5,@DaRealSunisaKim There's ding tai Fung here in Sydney aswell...  making me want dumplings...
2393,12,arrives in mfk... With these potholes.. I foresee a wheel changing session. Hai no man
2394,10,going to bed...with NO sexy time UGHHH!
2395,12,sneezing is never a good sign
2396,10,Sometimes I have a pillow and sometimes I don't
2397,12,@GuitarHeroDevs Why online one download this week?
2398,12,*sigh* i always disappoint people who get in my way...  everyone .. i'm OUT.. i might disappoint everyone else here..
2399,10,"@kpatthethird FML dad didnt leave me any moneyz, so i have 2 wait till he gets home   call me when you finish work?"
2400,12,"@ajaedandridge  ummm...last night when I DM'd you, you said it was a &quot;good&quot; question."
2401,6,I hate this bit
2402,8,@RaNTeLLDaT I KNO I SHOULDA CAME
2403,7,I miss you sweetie!
2404,10,I miss Feb 23rd 2008  best night of my whole entire fucking life. I'd rather re-live that night then win $1million.
2405,7,@AntBoogieWorld Wish you were coming to Australia &amp; New Zealand with the Sticky Tour Ant
2406,10,"@harneet @RangitaNandy as a kid, i remember searching with the local video store owner in a godown , got a video tape with fungus badluck"
2407,8,I wish I had company
2408,12,@FLASxyBlck25 right now thats about all I can deal with  I work too much and I need my space! Most women dont offer that!
2409,12,work suckd.. another closing nite with 30 dollars pockeded..  i need a new job
2410,8,has woken up feeling a little special...i dont thing drink the bar dry is on the cards. when i finally sober up its home time i think
2411,7,what a bummer that tomorrow is friday again!
2412,8,"@BuddyThePuggy Poor Buddy, being teased by mini puggy  I think what you need is a #PUGHUG"
2413,12,screw the fact you can't post LONG updates on twitter
2414,12,@Miss_Thrifty eBay 10 mile rule not working for me.  Too many pairs of leather trousers being sold in Aberdeen. Will try next week.
2415,7,@IljaCoolen Thanks! Just used a therm to pry it out. Was like concrete! Blood and everything!  He's doing a lot better now. Thank god.
2416,8,@breakfastnt wasn't much of a debate
2417,12,"@NosliwEiggam hey, got your text sms. i plan on maybe just catching a flick tonight. last night was a wee bit too much for me"
2418,11,#3breakupwords you have changed
2419,8,Only four full days left in Aussie-land. I don't want to go home.
2420,8,They're gone.
2421,10,#freakyfriday Slipped in the shower and fell. Lucky to escape with just a couple of concussions!
2422,10,Damn I failed in my assassination attempt on Louis  re: http://ff.im/3mrIM
2423,10,@displayspook damn i missed it too
2424,10,Y AM I STILL AWAKE!!!! SMH.... THIS SUCKS!!!
2425,10,is having headache and colds...
2426,11,"@beautifulpyre GRR. we are only allowed gas grills where i live, it sucks."
2427,10,This headache is killing me yet I need to cover some boring police event.
2428,12,Another night of not sleeping
2429,12,"@tommcfly, @dannymcfly, @mcflyharry and @dougiemcfly i think you should come home now"
2430,12,You guys dont get too drunk without me
2431,8,on way to work
2432,8,is sick in the doctors waiting room
2433,6,This place blows! My UberTwitter isn't functioning here! Had to switch to TB
2434,12,@UltraSub Too much details !!!    (But glad he is better)
2435,7,"Just finished The Village. So in love,could watch it over and over! Wonder why I can't get to sleep tonight"
2436,10,I'm sooo lost without my car  This is truly depressing. Pregnant people should NEVER be this stressed out!
2437,11,what's wrong with people? Second break-in at Wallmans tonight
2438,10,@jessiimiica I am like the most saddest person on jtv right now because you are not on
2439,10,"Heathrow Connect is ï¿½7.40,i thought it was a bargain (express is 15),but then it terminated at Hayes/Harlington and i had to take a bus"
2440,7,http://twitpic.com/666gy - My glass is empty. Will someone be a dear and fetch me another?
2441,8,@Jay5920 leave Fraser alone
2442,10,"@brookedanielle_ it just upsets me , becasue like 6 years we have loved them .. and then this happens  imm really uset now x"
2443,11,@Phoebo oh poor you  atleast get paid for staying back or?
2444,10,Marley and me is the saddest movie ever I never cry in movies but this movie mad me cry
2445,11,"@TerrenceJ106 Here! Got a 2JOBs &amp;a degree, but my damn car DIED so @lamborghinibow just made me feel shitty bout not havin a car!"
2446,10,I was looking forward to seeing @PapaRoach in Raleigh (fan for 10 years NB too) but scalpers took the tix and sell them for $200  morons
2447,10,@chasssss they got attacked by the club
2448,6,Cars been dropped off for service and mot  getting the train home! Hate public transport!!
2449,12,Morning tweeple! I'm a bit sneezy today
2450,9,I am soooo  right now!
2451,8,trying to understand why WHY i joined twitter.....everyone else was doing it i felt left out
2452,8,"@Mogeezie u ever jus fell like damn, i jus want to cake it n lay next to ur baby...watch movies chill freak on all night..."
2453,12,Did not win Kelly Clarkson Tickets. Sorry Cecilia. Really wish I could give that to you! You so much deserve it.
2454,10,@xxsteebiexx lol i know i wld like to get a reply from seann william scott but he dont reply  and hes one of my favourite actors
2455,10,i'm so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida
2456,8,Just wants to stay in bed all day but has to go to work instead  sux
2457,7,All of you can have fun tweeting all day while im cleaning hair  LOL
2458,12,what do u do when ur dads losing it mentaly and dosent remeber you
2459,12,why am i up...i have to wake up at 7
2460,10,"Google Wave presentation: http://bit.ly/2ehfov  I'm not very impressed. It's nice, but it's not really for me"
2461,12,@dylandersen I am lost. Please help me find a good home.
2462,10,Fixed my favourites. $180 and the heels fell off after 4 wears
2463,8,"Dizzy  I wanna lie die, but those calories aren't gonna just balk because I ignore them."
2464,8,is super tired
2465,8,"just realized that Chris Lake was spinning in stockholm yesterday, and I missed it!"
2466,11,@Scrambledmegs haha i love surprises! i don't work til sunday tho so i have to wait.
2467,12,Hate be late
2468,12,feeling like shit. hope its not swine flu or something
2469,12,"Its friday and i'm sick, story of my life..."
2470,12,how i wish the result IS true...
2471,7,Summer is really ending. It's raining.
2472,12,"@queeeniee Where's yummiest Pan Mee? For me it's behind Dance Center, Ipoh Garden South. and i miss it"
2473,8,I almost lost you again phone  silly indy
2474,5,This is one of my all-time favorite episodes/quotes from The OfficeUS only   )  http://bit.ly/ARMJ
2475,8,"@inrsoul I can't buy, only rent!"
2476,10,Nice action shot: http://bit.ly/m8zfx   I miss working a pole.
2477,10,I am not going to entertain any request for reducing shipping cost by using registered post instead of courier from now on....
2478,12,I still have a very depressed feline fuzzball...it's another trip to vet tmrw to see what can be done...worried doesn't even cover it
2479,11,@wilw wtf pogs are back too?
2480,10,Going to miss my roomie @Staycy... We will no longer be roomies starting tomorrow
2481,12,"@crunchybunny Sus Ate, I was so upset, I wasn't informed AT ALL. Turns out, they told Sarms and they expected her to tell me. Huff."
2482,6,Hydro drive abandoned after three miles
2483,8,"@ELJmcfly Were done so much for them, then brazilians ha! but no meh, i think they love the other countries more then the UK"
2484,12,@MadamSalami pmsl @poo... We had crap everywhere too. But NO More. Love it. My wool stash today though
2485,10,dreading work tomorrow wish I had one more day off
2486,12,@anttoekneeeeeee with 14mph winds!!
2487,12,@Rina_spn what's going on?
2488,12,where has my sleep run off to??
2489,8,work sucked .. another 8 hour shift with only 30 dollars to show for..    i need a new job...
2490,2,"I had 2 buy a new washer, bought the dryer 2.  Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return it."
2491,8,@SophiaF3F3 word i'm always up
2492,10,@mizzlalabaybii @KEWSBOOGIE im just so lonely right now. maybe SADE GOT ME FEELING LIKE THIS
2493,10,very tired and anxious
2494,5,I chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said I suppoort single moms! Funny
2495,10,its my burfday and i'm all alone
2496,12,@disquiet Business or pleasure? Will keep my eye out for anything. You're just missing a Moondog concert tomorrow night
2497,10,"@JoelMadden I applaud you for accepting gay marriage, I have rels that are born again that hate me for it."
2498,6,hmz... second most popular page on this governmental site is the 404 page... fail
2499,8,hates karma down. bakit kse nilagnat aq khpon?  http://plurk.com/p/wy4ju
2500,12,Can't freakin sleep and i have a horrible stomach ache
2501,10,Headache
2502,12,@DavidAWatson link no worky-work
2503,10,@Alma773  want somebody to hold me Alma! tear tear
2504,8,IS BORED. Can't even tease people now
2505,8,@geekinpink804  i can't.
2506,12,@kaybob23 too bad i dont have either
2507,2,Curse you breakfast gods....full bowl of cereal + not enough milk =
2508,11,"@ELJmcfly I don't think any of what i just said it true, i just had a rant about mcfly, i cant belive i did that  i feel ashamed"
2509,10,Its beginning to get way too hard to please all of my friends at once
2510,11,yea dude... 5'8&quot;! really!?
